qname,join_order,exec_sql,cost
58.pkl,Leading((mk (mc (ci (mi t))))),/*+ Rows(t #391666) Rows(mi #3036719) Rows(mc #2609129) Rows(ci #7451973) Rows(mk #4523930) Rows(mi t #436548) Rows(mc t #294635) Rows(ci t #1127791) Rows(mk t #299534) Rows(mc mi t #1258211) Rows(ci mi t #1984439) Rows(mi mk t #2742272) Rows(ci mc t #1637102) Rows(mc mk t #2116623) Rows(ci mk t #2583747) Rows(ci mc mi t #17669965) Rows(mc mi mk t #67597282) Rows(ci mi mk t #50166855) Rows(ci mc mk t #32897373) Rows(ci mc mi mk t #1352809555)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN (movie_companies as mc CROSS JOIN (cast_info as ci CROSS JOIN (movie_info as mi CROSS JOIN title as t))) WHERE  ci.role_id=2 AND  mi.info_type_id=16 AND  t.production_year>2010 AND t.id = ci.movie_id AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mk.movie_id,5289584.76
60.pkl,Leading((mk ((mc (ci t)) mi))),/*+ Rows(t #1381453) Rows(mi #3036719) Rows(mc #2609129) Rows(ci #7451973) Rows(mk #4523930) Rows(mi t #1798330) Rows(mc t #1170186) Rows(ci t #4402268) Rows(mk t #1970380) Rows(mc mi t #6621484) Rows(ci mi t #9273829) Rows(mi mk t #21795195) Rows(ci mc t #6991479) Rows(mc mk t #16657594) Rows(ci mk t #18054021) Rows(ci mc mi t #90649862) Rows(mc mi mk t #512575801) Rows(ci mi mk t #365166393) Rows(ci mc mk t #251883732) Rows(ci mc mi mk t #9537310863)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN ((movie_companies as mc CROSS JOIN (cast_info as ci CROSS JOIN title as t)) CROSS JOIN movie_info as mi) WHERE  ci.role_id=2 AND  mi.info_type_id=16 AND  t.production_year>2000 AND t.id = ci.movie_id AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mk.movie_id,28614678.7
10.pkl,Leading((mk (mi_idx t))),/*+ Rows(t #391666) Rows(mi_idx #459925) Rows(mk #4523930) Rows(mi_idx t #43838) Rows(mk t #299534) Rows(mi_idx mk t #179616)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN (movie_info_idx as mi_idx CROSS JOIN title as t) WHERE  mi_idx.info_type_id=101 AND  t.production_year>2010 AND t.id = mi_idx.movie_id AND t.id = mk.movie_id,192460.92
41.pkl,Leading((mk (mi (mc t)))),/*+ Rows(t #1381453) Rows(mi #3036719) Rows(mk #4523930) Rows(mc #2609129) Rows(mi t #1798330) Rows(mk t #1970380) Rows(mc t #1170186) Rows(mi mk t #21795195) Rows(mc mi t #6621484) Rows(mc mk t #16657594) Rows(mc mi mk t #512575801)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN (movie_info as mi CROSS JOIN (movie_companies as mc CROSS JOIN title as t)) WHERE  mi.info_type_id=16 AND  t.production_year>2000 AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mk.movie_id,2307052.97
65.pkl,Leading((((mk t) mc) mi)),/*+ Rows(t #46583) Rows(mk #10544) Rows(mc #1334883) Rows(mi #14835720) Rows(mk t #271) Rows(mc t #20455) Rows(mi t #250661) Rows(mc mk t #372) Rows(mi mk t #8543) Rows(mc mi t #370041) Rows(mc mi mk t #19006)  */ explain (format json) SELECT COUNT(*) FROM ((movie_keyword as mk CROSS JOIN title as t) CROSS JOIN movie_companies as mc) CROSS JOIN movie_info as mi WHERE  mc.company_type_id=2 AND  mk.keyword_id=398 AND  t.production_year=1998 AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mk.movie_id,88452.52
35.pkl,Leading((((mi_idx t) mi) mc)),/*+ Rows(t #2528312) Rows(mi #121863) Rows(mi_idx #10) Rows(mc #2609129) Rows(mi t #121863) Rows(mi_idx t #10) Rows(mc t #2609129) Rows(mi mi_idx t #4) Rows(mc mi t #360355) Rows(mc mi_idx t #120) Rows(mc mi mi_idx t #72)  */ explain (format json) SELECT COUNT(*) FROM ((movie_info_idx as mi_idx CROSS JOIN title as t) CROSS JOIN movie_info as mi) CROSS JOIN movie_companies as mc WHERE  mi.info_type_id=105 AND  mi_idx.info_type_id=113 AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mi_idx.movie_id,1405.56
40.pkl,Leading((mk ((t mi_idx) mi))),/*+ Rows(t #1012920) Rows(mi #1325361) Rows(mk #4523930) Rows(mi_idx #459925) Rows(mi t #455223) Rows(mk t #1253091) Rows(mi_idx t #143567) Rows(mi mk t #1384108) Rows(mi mi_idx t #125530) Rows(mi_idx mk t #850677) Rows(mi mi_idx mk t #1043763)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN ((title as t CROSS JOIN movie_info_idx as mi_idx) CROSS JOIN movie_info as mi) WHERE  mi.info_type_id=8 AND  mi_idx.info_type_id=101 AND  t.production_year>2005 AND t.id = mi.movie_id AND t.id = mi_idx.movie_id AND t.id = mk.movie_id,545594.04
42.pkl,Leading((mk (mi (mc t)))),/*+ Rows(t #479551) Rows(mi #3036719) Rows(mk #4523930) Rows(mc #2609129) Rows(mi t #669960) Rows(mk t #777213) Rows(mc t #420388) Rows(mi mk t #8542397) Rows(mc mi t #2557971) Rows(mc mk t #6670791) Rows(mc mi mk t #206778521)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN (movie_info as mi CROSS JOIN (movie_companies as mc CROSS JOIN title as t)) WHERE  mi.info_type_id=16 AND  t.production_year<2010 AND  t.production_year>2005 AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mk.movie_id,1322913.09
50.pkl,Leading((mi (ci (mc t)))),/*+ Rows(t #1381453) Rows(mi #3036719) Rows(mc #2609129) Rows(ci #7451973) Rows(mi t #1798330) Rows(mc t #1170186) Rows(ci t #4402268) Rows(mc mi t #6621484) Rows(ci mi t #9273829) Rows(ci mc t #6991479) Rows(ci mc mi t #90649862)  */ explain (format json) SELECT COUNT(*) FROM movie_info as mi CROSS JOIN (cast_info as ci CROSS JOIN (movie_companies as mc CROSS JOIN title as t)) WHERE  ci.role_id=2 AND  mi.info_type_id=16 AND  t.production_year>2000 AND t.id = ci.movie_id AND t.id = mc.movie_id AND t.id = mi.movie_id,1463615.3
36.pkl,Leading((mc ((t mi_idx) mi))),/*+ Rows(t #848084) Rows(mi #1533909) Rows(mi_idx #459925) Rows(mc #1334883) Rows(mi t #435634) Rows(mi_idx t #157251) Rows(mc t #381320) Rows(mi mi_idx t #185501) Rows(mc mi t #474153) Rows(mc mi_idx t #207561) Rows(mc mi mi_idx t #305691)  */ explain (format json) SELECT COUNT(*) FROM movie_companies as mc CROSS JOIN ((title as t CROSS JOIN movie_info_idx as mi_idx) CROSS JOIN movie_info as mi) WHERE  mc.company_type_id=2 AND  mi.info_type_id=3 AND  mi_idx.info_type_id=101 AND  t.production_year<2010 AND  t.production_year>2000 AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mi_idx.movie_id,543584.95
66.pkl,Leading((mk (mc (mi (t mi_idx))))),/*+ Rows(t #1381453) Rows(mi #1325361) Rows(mk #4523930) Rows(mi_idx #459925) Rows(mc #2609129) Rows(mi t #641527) Rows(mk t #1970380) Rows(mi_idx t #221314) Rows(mc t #1170186) Rows(mi mk t #2283714) Rows(mi mi_idx t #198913) Rows(mc mi t #1195290) Rows(mi_idx mk t #1402930) Rows(mc mk t #16657594) Rows(mc mi_idx t #646073) Rows(mi mi_idx mk t #1801122) Rows(mc mi mk t #27360458) Rows(mc mi mi_idx t #784265) Rows(mc mi_idx mk t #16001104) Rows(mc mi mi_idx mk t #26718423)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN (movie_companies as mc CROSS JOIN (movie_info as mi CROSS JOIN (title as t CROSS JOIN movie_info_idx as mi_idx))) WHERE  mi.info_type_id=8 AND  mi_idx.info_type_id=101 AND  t.production_year>2000 AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mi_idx.movie_id AND t.id = mk.movie_id,783202.07
3.pkl,Leading(((mi_idx t) mc)),/*+ Rows(t #391666) Rows(mc #1334883) Rows(mi_idx #250) Rows(mc t #176197) Rows(mi_idx t #12) Rows(mc mi_idx t #47)  */ explain (format json) SELECT COUNT(*) FROM (movie_info_idx as mi_idx CROSS JOIN title as t) CROSS JOIN movie_companies as mc WHERE  mc.company_type_id=2 AND  mi_idx.info_type_id=112 AND  t.production_year>2010 AND t.id = mc.movie_id AND t.id = mi_idx.movie_id,1397.39
14.pkl,Leading((mi (mc t))),/*+ Rows(t #1749032) Rows(mi #14835720) Rows(mc #1334883) Rows(mi t #9092685) Rows(mc t #794787) Rows(mc mi t #12738520)  */ explain (format json) SELECT COUNT(*) FROM movie_info as mi CROSS JOIN (movie_companies as mc CROSS JOIN title as t) WHERE  mc.company_type_id=2 AND  t.production_year>1990 AND t.id = mc.movie_id AND t.id = mi.movie_id,753562.35
29.pkl,Leading(((mc t) ci)),/*+ Rows(t #391666) Rows(mc #2609129) Rows(ci #12670688) Rows(mc t #294635) Rows(ci t #1759319) Rows(ci mc t #2873214)  */ explain (format json) SELECT COUNT(*) FROM (movie_companies as mc CROSS JOIN title as t) CROSS JOIN cast_info as ci WHERE  ci.role_id=1 AND  t.production_year>2010 AND t.id = ci.movie_id AND t.id = mc.movie_id,753302.42
27.pkl,Leading((ci (mc t))),/*+ Rows(t #251557) Rows(ci #7451973) Rows(mc #2609129) Rows(ci t #882675) Rows(mc t #221088) Rows(ci mc t #1381288)  */ explain (format json) SELECT COUNT(*) FROM cast_info as ci CROSS JOIN (movie_companies as mc CROSS JOIN title as t) WHERE  ci.role_id=2 AND  t.production_year<2010 AND  t.production_year>2007 AND t.id = ci.movie_id AND t.id = mc.movie_id,523968.17
63.pkl,Leading((mk ((mi_idx t) ci))),/*+ Rows(t #274015) Rows(mk #4523930) Rows(ci #36244344) Rows(mi_idx #459925) Rows(mk t #1053171) Rows(ci t #4911717) Rows(mi_idx t #86572) Rows(ci mk t #84217062) Rows(mi_idx mk t #897347) Rows(ci mi_idx t #2693690) Rows(ci mi_idx mk t #81495003)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN ((movie_info_idx as mi_idx CROSS JOIN title as t) CROSS JOIN cast_info as ci) WHERE  mi_idx.info_type_id=101 AND  t.kind_id=1 AND  t.production_year>2000 AND t.id = ci.movie_id AND t.id = mi_idx.movie_id AND t.id = mk.movie_id,969425.36
39.pkl,Leading((mk (mi (mi_idx t)))),/*+ Rows(t #662825) Rows(mi #1325361) Rows(mk #4523930) Rows(mi_idx #459925) Rows(mi t #705350) Rows(mk t #2886675) Rows(mi_idx t #209880) Rows(mi mk t #3643079) Rows(mi mi_idx t #238948) Rows(mi_idx mk t #2503305) Rows(mi mi_idx mk t #3243247)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN (movie_info as mi CROSS JOIN (movie_info_idx as mi_idx CROSS JOIN title as t)) WHERE  mi.info_type_id=8 AND  mi_idx.info_type_id=101 AND  t.kind_id=1 AND t.id = mi.movie_id AND t.id = mi_idx.movie_id AND t.id = mk.movie_id,597044.44
48.pkl,Leading((mi (ci (mc t)))),/*+ Rows(t #350855) Rows(mi #3036719) Rows(mc #2609129) Rows(ci #7451973) Rows(mi t #495374) Rows(mc t #305063) Rows(ci t #1191990) Rows(mc mi t #1816973) Rows(ci mi t #2647115) Rows(ci mc t #1837455) Rows(ci mc mi t #24675801)  */ explain (format json) SELECT COUNT(*) FROM movie_info as mi CROSS JOIN (cast_info as ci CROSS JOIN (movie_companies as mc CROSS JOIN title as t)) WHERE  ci.role_id=2 AND  mi.info_type_id=16 AND  t.production_year<2009 AND  t.production_year>2005 AND t.id = ci.movie_id AND t.id = mc.movie_id AND t.id = mi.movie_id,1047975.4
54.pkl,Leading((((mk t) mc) mi)),/*+ Rows(t #848084) Rows(mk #10544) Rows(mc #1334883) Rows(mi #14835720) Rows(mk t #2699) Rows(mc t #381320) Rows(mi t #4558886) Rows(mc mk t #3411) Rows(mi mk t #95564) Rows(mc mi t #6872385) Rows(mc mi mk t #307213)  */ explain (format json) SELECT COUNT(*) FROM ((movie_keyword as mk CROSS JOIN title as t) CROSS JOIN movie_companies as mc) CROSS JOIN movie_info as mi WHERE  mc.company_type_id=2 AND  mk.keyword_id=398 AND  t.production_year<2010 AND  t.production_year>2000 AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mk.movie_id,97199.37
23.pkl,Leading((ci (mc t))),/*+ Rows(t #2528312) Rows(ci #7451973) Rows(mc #2609129) Rows(ci t #7451973) Rows(mc t #2609129) Rows(ci mc t #13355828)  */ explain (format json) SELECT COUNT(*) FROM cast_info as ci CROSS JOIN (movie_companies as mc CROSS JOIN title as t) WHERE  ci.role_id=2 AND t.id = ci.movie_id AND t.id = mc.movie_id,755675.03
4.pkl,Leading(((mi_idx t) mc)),/*+ Rows(t #1381453) Rows(mc #1334883) Rows(mi_idx #10) Rows(mc t #620001) Rows(mi_idx t #6) Rows(mc mi_idx t #16)  */ explain (format json) SELECT COUNT(*) FROM (movie_info_idx as mi_idx CROSS JOIN title as t) CROSS JOIN movie_companies as mc WHERE  mc.company_type_id=2 AND  mi_idx.info_type_id=113 AND  t.production_year>2000 AND t.id = mc.movie_id AND t.id = mi_idx.movie_id,1391.23
25.pkl,Leading((mc (ci t))),/*+ Rows(t #2528312) Rows(ci #276403) Rows(mc #2609129) Rows(ci t #276403) Rows(mc t #2609129) Rows(ci mc t #794591)  */ explain (format json) SELECT COUNT(*) FROM movie_companies as mc CROSS JOIN (cast_info as ci CROSS JOIN title as t) WHERE  ci.role_id=7 AND t.id = ci.movie_id AND t.id = mc.movie_id,216918.52
12.pkl,Leading((mi (mc t))),/*+ Rows(t #1012920) Rows(mi #14835720) Rows(mc #1334883) Rows(mi t #4922359) Rows(mc t #450556) Rows(mc mi t #6333736)  */ explain (format json) SELECT COUNT(*) FROM movie_info as mi CROSS JOIN (movie_companies as mc CROSS JOIN title as t) WHERE  mc.company_type_id=2 AND  t.production_year>2005 AND t.id = mc.movie_id AND t.id = mi.movie_id,689764.92
61.pkl,Leading((mk (ci (mi (t mi_idx))))),/*+ Rows(t #2528312) Rows(mi #1533909) Rows(mi_idx #459925) Rows(ci #36244344) Rows(mk #4523930) Rows(mi t #1533909) Rows(mi_idx t #459925) Rows(ci t #36244344) Rows(mk t #4523930) Rows(mi mi_idx t #546205) Rows(ci mi t #26038298) Rows(mi mk t #8855087) Rows(ci mi_idx t #13626495) Rows(mi_idx mk t #3461792) Rows(ci mk t #215765477) Rows(ci mi mi_idx t #16461908) Rows(mi mi_idx mk t #7567972) Rows(ci mi mk t #510924327) Rows(ci mi_idx mk t #200542501) Rows(ci mi mi_idx mk t #492943940)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN (cast_info as ci CROSS JOIN (movie_info as mi CROSS JOIN (title as t CROSS JOIN movie_info_idx as mi_idx))) WHERE  mi.info_type_id=3 AND  mi_idx.info_type_id=100 AND t.id = ci.movie_id AND t.id = mi.movie_id AND t.id = mi_idx.movie_id AND t.id = mk.movie_id,3730012.55
6.pkl,Leading((mi (mk t))),/*+ Rows(t #1012920) Rows(mi #14835720) Rows(mk #4523930) Rows(mi t #4922359) Rows(mk t #1253091) Rows(mi mk t #62682311)  */ explain (format json) SELECT COUNT(*) FROM movie_info as mi CROSS JOIN (movie_keyword as mk CROSS JOIN title as t) WHERE  t.production_year>2005 AND t.id = mi.movie_id AND t.id = mk.movie_id,966037.95
70.pkl,Leading((mk (ci (mi (t mi_idx))))),/*+ Rows(t #1381453) Rows(mi #1533909) Rows(mi_idx #459925) Rows(ci #36244344) Rows(mk #4523930) Rows(mi t #815187) Rows(mi_idx t #221314) Rows(ci t #21334720) Rows(mk t #1970380) Rows(mi mi_idx t #257633) Rows(ci mi t #14392622) Rows(mi mk t #3564358) Rows(ci mi_idx t #7097988) Rows(mi_idx mk t #1402930) Rows(ci mk t #114182642) Rows(ci mi mi_idx t #8005670) Rows(mi mi_idx mk t #2912311) Rows(ci mi mk t #268238061) Rows(ci mi_idx mk t #104984070) Rows(ci mi mi_idx mk t #258385218)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN (cast_info as ci CROSS JOIN (movie_info as mi CROSS JOIN (title as t CROSS JOIN movie_info_idx as mi_idx))) WHERE  mi.info_type_id=3 AND  mi_idx.info_type_id=100 AND  t.production_year>2000 AND t.id = ci.movie_id AND t.id = mi.movie_id AND t.id = mi_idx.movie_id AND t.id = mk.movie_id,2692750.96
37.pkl,Leading((mi (mc (mi_idx t)))),/*+ Rows(t #662825) Rows(mi #3036719) Rows(mc #1334883) Rows(mi_idx #459925) Rows(mi t #1083597) Rows(mc t #640620) Rows(mi_idx t #209880) Rows(mc mi t #2250196) Rows(mi mi_idx t #724731) Rows(mc mi_idx t #302610) Rows(mc mi mi_idx t #1919495)  */ explain (format json) SELECT COUNT(*) FROM movie_info as mi CROSS JOIN (movie_companies as mc CROSS JOIN (movie_info_idx as mi_idx CROSS JOIN title as t)) WHERE  mc.company_type_id=2 AND  mi.info_type_id=16 AND  mi_idx.info_type_id=101 AND  t.kind_id=1 AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mi_idx.movie_id,562340.66
64.pkl,Leading((mk ((mi_idx t) ci))),/*+ Rows(t #216282) Rows(mk #4523930) Rows(ci #36244344) Rows(mi_idx #459925) Rows(mk t #682355) Rows(ci t #3785589) Rows(mi_idx t #58024) Rows(ci mk t #53765709) Rows(mi_idx mk t #547364) Rows(ci mi_idx t #1839592) Rows(ci mi_idx mk t #51282842)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN ((movie_info_idx as mi_idx CROSS JOIN title as t) CROSS JOIN cast_info as ci) WHERE  mi_idx.info_type_id=101 AND  t.kind_id=1 AND  t.production_year>2005 AND t.id = ci.movie_id AND t.id = mi_idx.movie_id AND t.id = mk.movie_id,722903.39
33.pkl,Leading((mk (mc t))),/*+ Rows(t #2287271) Rows(mk #4523930) Rows(mc #2609129) Rows(mk t #3961736) Rows(mc t #2229308) Rows(mc mk t #31339132)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN (movie_companies as mc CROSS JOIN title as t) WHERE  t.production_year>1950 AND t.id = mc.movie_id AND t.id = mk.movie_id,507207.05
21.pkl,Leading((ci t)),/*+ Rows(t #44715) Rows(ci #36244344) Rows(ci t #695701)  */ explain (format json) SELECT COUNT(*) FROM cast_info as ci CROSS JOIN title as t WHERE  t.production_year<1984 AND  t.production_year>1980 AND t.id = ci.movie_id,833463.68
51.pkl,Leading((mk (ci t))),/*+ Rows(t #492483) Rows(mk #4523930) Rows(ci #36244344) Rows(mk t #2343162) Rows(ci t #8852321) Rows(ci mk t #151179813)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN (cast_info as ci CROSS JOIN title as t) WHERE  t.kind_id=1 AND  t.production_year>1950 AND t.id = ci.movie_id AND t.id = mk.movie_id,1981526.21
11.pkl,Leading((mk (t mi_idx))),/*+ Rows(t #1749032) Rows(mi_idx #459925) Rows(mk #4523930) Rows(mi_idx t #303486) Rows(mk t #2742670) Rows(mi_idx mk t #2031666)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN (title as t CROSS JOIN movie_info_idx as mi_idx) WHERE  mi_idx.info_type_id=101 AND  t.production_year>1990 AND t.id = mi_idx.movie_id AND t.id = mk.movie_id,265999.87
57.pkl,Leading((mk (((mi_idx t) mi) mc))),/*+ Rows(t #533369) Rows(mi #1325361) Rows(mk #4523930) Rows(mi_idx #459925) Rows(mc #2609129) Rows(mi t #233592) Rows(mk t #475878) Rows(mi_idx t #64063) Rows(mc t #409251) Rows(mi mk t #488089) Rows(mi mi_idx t #53013) Rows(mc mi t #374517) Rows(mi_idx mk t #305628) Rows(mc mk t #3655294) Rows(mc mi_idx t #183850) Rows(mi mi_idx mk t #346794) Rows(mc mi mk t #5280948) Rows(mc mi mi_idx t #208040) Rows(mc mi_idx mk t #3432100) Rows(mc mi mi_idx mk t #5060606)  */ explain (format json) SELECT COUNT(*) FROM movie_keyword as mk CROSS JOIN (((movie_info_idx as mi_idx CROSS JOIN title as t) CROSS JOIN movie_info as mi) CROSS JOIN movie_companies as mc) WHERE  mi.info_type_id=8 AND  mi_idx.info_type_id=101 AND  t.production_year>2009 AND t.id = mc.movie_id AND t.id = mi.movie_id AND t.id = mi_idx.movie_id AND t.id = mk.movie_id,464711.68
